datetime,storage,elevation,outflow,inflow,precip,evap,tocs
2005-01-01,402.869,403.46,1391.0,7343.0,2.26,47.0,577.0
2005-01-02,409.755,404.45,1711.0,5183.0,0.02,0.0,577.0
2005-01-03,416.649,405.43,950.0,4464.0,0.56,38.0,577.0
2005-01-04,419.127,405.78,1557.0,2828.0,0.24,22.0,577.0
2005-01-05,420.971,406.04,1697.0,2627.0,0.0,0.0,577.0
2005-01-06,423.765,406.43,1374.0,2783.0,0.0,0.0,575.3
2005-01-07,427.274,406.92,1563.0,3351.0,0.0,19.0,577.0
2005-01-08,442.411,409.0,1302.0,8953.0,0.0,20.0,577.0
2005-01-09,456.398,410.88,1814.0,8866.0,0.3,0.0,577.0
2005-01-10,467.141,412.3,1653.0,7082.0,0.07,13.0,577.0
2005-01-11,485.556,414.69,1463.0,10760.0,0.64,13.0,577.0
2005-01-12,495.429,415.95,1669.0,6647.0,0.62,0.0,577.0
2005-01-13,502.007,416.78,1453.0,4777.0,0.0,8.0,577.0
2005-01-14,507.673,417.49,1367.0,4232.0,0.0,8.0,577.0
2005-01-15,512.321,418.07,1447.0,3798.0,0.0,8.0,577.0
2005-01-16,514.987,418.4,1202.0,2557.0,0.0,11.0,577.0
2005-01-17,518.622,418.85,1305.0,3149.0,0.0,11.0,577.0
2005-01-18,520.405,419.07,1967.0,2871.0,0.0,5.0,577.0
2005-01-19,522.932,419.38,1614.0,2888.0,0.0,0.0,577.0
2005-01-20,526.275,419.79,1366.0,3070.0,0.0,19.0,577.0
2005-01-21,529.304,420.16,1584.0,3114.0,0.0,3.0,577.0
2005-01-22,531.937,420.48,1903.0,3230.0,0.0,0.0,577.0
2005-01-23,535.723,420.94,1479.0,3394.0,0.0,6.0,577.0
2005-01-24,539.788,421.43,1686.0,3738.0,0.0,3.0,577.0
2005-01-25,543.608,421.89,1678.0,3604.0,0.0,0.0,577.0
2005-01-26,549.97,422.65,1347.0,4562.0,0.0,8.0,577.0
2005-01-27,556.878,423.47,1981.0,5464.0,0.2,0.0,577.0
2005-01-28,567.077,424.67,1602.0,6744.0,1.03,0.0,577.0
2005-01-29,574.197,425.5,1325.0,4915.0,1.03,0.0,577.0
2005-01-30,578.587,426.01,1376.0,3589.0,0.0,0.0,577.0
2005-01-31,583.36,426.56,1625.0,4075.0,0.0,44.0,577.0
2005-02-01,586.658,426.94,1904.0,3611.0,0.0,44.0,577.0
2005-02-02,588.929,427.2,2552.0,3720.0,0.0,23.0,577.0
2005-02-03,591.292,427.47,2619.0,3842.0,0.0,32.0,577.0
2005-02-04,592.867,427.65,3010.0,3822.0,0.0,18.0,577.0
2005-02-05,594.967,427.89,2534.0,3611.0,0.0,18.0,577.0
2005-02-06,596.901,428.11,2543.0,3536.0,0.0,18.0,577.0
2005-02-07,598.665,428.31,2631.0,3544.0,0.0,24.0,577.0
2005-02-08,599.989,428.46,2681.0,3349.0,0.04,0.0,579.4
2005-02-09,600.695,428.54,3431.0,3813.0,0.0,26.0,581.8
2005-02-10,592.08,427.56,7656.0,3345.0,0.0,32.0,581.8
2005-02-11,583.534,426.58,8130.0,3836.0,0.0,15.0,586.5
2005-02-12,578.587,426.01,5877.0,3400.0,0.01,17.0,588.9
2005-02-13,577.467,425.88,3530.0,2991.0,0.0,26.0,591.3
2005-02-14,577.984,425.94,3434.0,3704.0,0.0,9.0,593.7
2005-02-15,580.757,426.26,3283.0,4681.0,0.0,0.0,593.7
2005-02-16,585.27,426.78,2226.0,4501.0,0.68,0.0,598.4
2005-02-17,590.854,427.42,2562.0,5395.0,0.16,18.0,600.8
2005-02-18,595.317,427.93,2459.0,4721.0,0.01,12.0,603.2
2005-02-19,597.783,428.21,2485.0,3728.0,0.22,0.0,605.6
2005-02-20,603.342,428.84,3151.0,5960.0,0.28,6.0,606.9
2005-02-21,597.254,428.15,8131.0,5068.0,0.28,6.0,607.8
2005-02-22,595.492,427.95,7683.0,6795.0,0.14,0.0,610.6
2005-02-23,595.492,427.95,6089.0,6130.0,0.0,41.0,614.1
2005-02-24,599.018,428.35,3854.0,5658.0,0.0,26.0,617.5
2005-02-25,600.518,428.52,3654.0,4428.0,0.0,18.0,619.9
2005-02-26,602.283,428.72,3055.0,3957.0,0.0,12.0,622.2
2005-02-27,604.489,428.97,2883.0,4013.0,0.0,18.0,624.0
2005-02-28,609.202,429.5,2629.0,5005.0,0.49,0.0,626.2
2005-03-01,612.227,429.84,3460.0,5009.0,0.01,24.0,629.3
2005-03-02,620.643,430.78,3027.0,7306.0,0.46,36.0,631.8
2005-03-03,626.591,431.44,2974.0,6126.0,0.51,153.0,634.1
2005-03-04,632.561,432.1,2942.0,5970.0,0.0,18.0,634.1
2005-03-05,637.113,432.6,2800.0,5107.0,0.02,12.0,634.1
2005-03-06,639.662,432.88,3074.0,4398.0,0.0,39.0,591.5
2005-03-07,642.313,433.17,2897.0,4267.0,0.0,33.0,643.7
2005-03-08,646.257,433.6,2841.0,4856.0,0.0,27.0,646.0
2005-03-09,649.466,433.95,2810.0,4474.0,0.0,46.0,648.4
2005-03-10,653.251,434.36,3264.0,5200.0,0.0,28.0,650.8
2005-03-11,654.637,434.51,3949.0,4703.0,0.0,55.0,650.8
2005-03-12,656.116,434.67,3762.0,4560.0,0.0,52.0,650.8
2005-03-13,657.779,434.85,3871.0,4752.0,0.0,43.0,611.6
2005-03-14,658.888,434.97,3937.0,4539.0,0.0,43.0,660.3
2005-03-15,659.073,434.99,4316.0,4452.0,0.0,43.0,662.7
2005-03-16,659.723,435.06,3557.0,3974.0,0.0,89.0,665.1
2005-03-17,659.258,435.01,4070.0,3879.0,0.0,43.0,667.5
2005-03-18,654.915,434.54,6012.0,3890.0,0.0,68.0,669.9
2005-03-19,646.807,433.66,8036.0,3985.0,0.0,37.0,672.2
2005-03-20,642.772,433.22,8135.0,6101.0,0.52,0.0,674.6
2005-03-21,640.846,433.01,7817.0,6846.0,0.81,0.0,677.0
2005-03-22,656.67,434.73,6398.0,14376.0,0.22,0.0,660.0
2005-03-23,696.98,439.02,5537.0,25860.0,1.32,0.0,641.9
2005-03-24,711.852,440.57,9055.0,16553.0,0.59,0.0,646.0
2005-03-25,702.244,439.57,14686.0,9883.0,0.0,41.0,651.7
2005-03-26,687.569,438.03,14605.0,7256.0,0.0,50.0,657.6
2005-03-27,671.565,436.33,14463.0,6441.0,0.0,47.0,644.7
2005-03-28,668.193,435.97,13690.0,11990.0,0.42,0.0,643.0
2005-03-29,670.347,436.2,11117.0,12228.0,0.01,25.0,638.6
2005-03-30,672.034,436.38,9753.0,10629.0,0.01,25.0,644.2
2005-03-31,673.908,436.58,8495.0,9496.0,0.01,56.0,650.6
2005-04-01,676.533,436.86,7099.0,8478.0,0.0,56.0,657.2
2005-04-02,678.883,437.11,6166.0,7392.0,0.0,41.0,663.9
2005-04-03,683.508,437.6,4847.0,7214.0,0.0,35.0,662.7
2005-04-04,688.615,438.14,5140.0,7762.0,0.35,47.0,665.5
2005-04-05,695.173,438.83,4297.0,7644.0,0.0,41.0,671.8
2005-04-06,701.575,439.5,3605.0,6881.0,0.0,48.0,678.9
2005-04-07,708.769,440.25,3931.0,7628.0,0.0,70.0,686.0
2005-04-08,720.553,441.47,3214.0,9174.0,0.17,19.0,682.7
2005-04-09,728.619,442.3,3216.0,7296.0,0.31,13.0,688.7
2005-04-10,733.986,442.85,3626.0,6400.0,0.0,68.0,695.8
2005-04-11,741.538,443.62,3714.0,7590.0,0.0,69.0,703.1
2005-04-12,749.026,444.38,3638.0,7465.0,0.0,52.0,710.2
2005-04-13,754.758,444.96,3914.0,6857.0,0.0,53.0,717.5
2005-04-14,760.921,445.58,3746.0,6906.0,0.0,53.0,724.8
2005-04-15,765.899,446.08,4076.0,6639.0,0.0,53.0,732.1
2005-04-16,769.203,446.41,4211.0,5943.0,0.0,66.0,738.9
2005-04-17,772.706,446.76,4439.0,6275.0,0.0,70.0,741.3
2005-04-18,780.148,447.5,4026.0,7831.0,0.0,53.0,743.7
2005-04-19,786.099,448.09,3958.0,7012.0,0.0,54.0,746.0
2005-04-20,790.156,448.49,4300.0,6419.0,0.0,74.0,748.4
2005-04-21,794.01,448.87,4264.0,6274.0,0.0,67.0,751.6
2005-04-22,796.961,449.16,3913.0,5468.0,0.0,67.0,757.3
2005-04-23,799.309,449.39,4197.0,5449.0,0.0,68.0,762.9
2005-04-24,801.35,449.59,4333.0,5396.0,0.33,34.0,768.5
2005-04-25,806.151,450.06,3898.0,6362.0,0.0,44.0,774.2
2005-04-26,810.362,450.47,3982.0,6173.0,0.0,68.0,779.8
2005-04-27,814.675,450.89,4273.0,6495.0,0.0,48.0,779.8
2005-04-28,820.144,451.42,3977.0,6778.0,0.0,44.0,791.1
2005-04-29,824.794,451.87,4247.0,6622.0,0.11,31.0,796.7
2005-04-30,830.086,452.38,3760.0,6517.0,0.0,89.0,802.4
2005-05-01,834.451,452.8,4326.0,6606.0,0.0,79.0,808.0
2005-05-02,838.933,453.23,4342.0,6706.0,0.0,104.0,813.6
2005-05-03,843.114,453.63,4134.0,6336.0,0.0,94.0,819.3
2005-05-04,847.717,454.07,3525.0,5947.0,0.0,101.0,824.9
2005-05-05,852.869,454.56,4591.0,7198.0,0.08,10.0,830.5
2005-05-06,859.821,455.22,4052.0,7557.0,0.58,0.0,836.2
2005-05-07,865.848,455.79,4152.0,7240.0,0.0,49.0,841.8
2005-05-08,871.257,456.3,3898.0,6692.0,0.0,67.0,847.4
2005-05-09,886.499,457.73,4113.0,11797.0,0.38,0.0,853.1
2005-05-10,898.301,458.83,4370.0,10320.0,0.66,0.0,858.7
2005-05-11,905.852,459.53,4905.0,8794.0,0.0,82.0,864.3
2005-05-12,907.472,459.68,6248.0,7147.0,0.0,82.0,870.0
2005-05-13,905.744,459.52,8743.0,7951.0,0.0,79.0,875.6
2005-05-14,905.528,459.5,8383.0,8356.0,0.0,82.0,881.2
2005-05-15,906.824,459.62,8315.0,9047.0,0.0,79.0,886.9
2005-05-16,913.968,460.28,8203.0,11819.0,0.0,14.0,892.5
2005-05-17,916.791,460.54,11404.0,12881.0,0.01,54.0,898.1
2005-05-18,909.632,459.88,14504.0,10917.0,0.01,22.0,903.8
2005-05-19,927.571,461.53,19124.0,28175.0,0.26,7.0,903.8
2005-05-20,925.279,461.32,23027.0,21882.0,0.55,11.0,903.8
2005-05-21,917.551,460.61,20113.0,16289.0,0.0,72.0,903.8
2005-05-22,907.688,459.7,18427.0,13554.0,0.0,100.0,926.3
2005-05-23,903.043,459.27,15499.0,13257.0,0.0,100.0,931.9
2005-05-24,902.503,459.22,13318.0,13139.0,0.0,93.0,937.6
2005-05-25,904.771,459.43,11129.0,12397.0,0.0,125.0,943.2
2005-05-26,914.185,460.3,8889.0,13761.0,0.0,126.0,948.8
2005-05-27,928.226,461.59,7286.0,14474.0,0.0,109.0,954.5
2005-05-28,944.229,463.05,6751.0,14906.0,0.0,87.0,960.1
2005-05-29,957.706,464.27,6366.0,13245.0,0.0,84.0,965.7
2005-05-30,962.254,464.68,8901.0,11293.0,0.0,99.0,971.4
2005-05-31,959.148,464.4,12389.0,10922.0,0.0,99.0,977.0
2005-06-01,955.155,464.04,12968.0,11032.0,0.0,77.0,977.0
2005-06-02,951.621,463.72,12946.0,11263.0,0.0,99.0,977.0
2005-06-03,946.987,463.3,12207.0,9970.0,0.0,99.0,977.0
2005-06-04,946.767,463.28,9119.0,9117.0,0.0,109.0,977.0
2005-06-05,948.863,463.47,7919.0,9078.0,0.0,102.0,977.0
