datetime,storage,elevation,outflow,inflow,precip,evap,tocs
2005-01-01,1654.436,747.51,0.0,5174.0,0.12,16.0,2913.4
2005-01-02,1666.753,748.84,0.0,6329.0,1.12,26.0,2894.2
2005-01-03,1669.168,749.1,3202.0,4382.0,0.16,9.0,2902.5
2005-01-04,1669.54,749.14,4347.0,4491.0,0.0,3.0,2915.0
2005-01-05,1676.43,749.88,1210.0,4731.0,0.04,0.0,2927.7
2005-01-06,1680.629,750.33,1896.0,3969.0,0.0,3.0,2938.5
2005-01-07,1688.769,751.2,1753.0,5860.0,1.16,4.0,2896.0
2005-01-08,1693.647,751.72,2532.0,5086.0,0.2,0.0,2887.8
2005-01-09,1700.701,752.47,2259.0,5769.0,0.0,0.0,2897.3
2005-01-10,1702.398,752.65,4165.0,5076.0,0.28,9.0,2887.0
2005-01-11,1707.87,753.23,3912.0,6591.0,0.72,15.0,2861.0
2005-01-12,1712.977,753.77,2616.0,5253.0,0.0,15.0,2874.3
2005-01-13,1716.009,754.09,3169.0,4710.0,0.0,13.0,2887.7
2005-01-14,1719.708,754.48,2447.0,4264.0,0.0,0.0,2901.3
2005-01-15,1723.793,754.91,1370.0,3436.0,0.0,6.0,2914.4
2005-01-16,1729.887,755.55,396.0,3523.0,0.0,6.0,2926.1
2005-01-17,1733.321,755.91,1394.0,3954.0,0.0,9.0,2937.9
2005-01-18,1735.709,756.16,3043.0,3476.0,0.0,0.0,2949.9
2005-01-19,1738.387,756.44,2370.0,3725.0,0.0,6.0,2961.6
2005-01-20,1740.397,756.65,3005.0,3979.0,0.0,9.0,2972.9
2005-01-21,1742.983,756.92,2549.0,3820.0,0.0,15.0,2983.8
2005-01-22,1748.452,757.49,1014.0,3820.0,0.04,0.0,2993.9
2005-01-23,1756.052,758.28,0.0,3796.0,0.0,12.0,3004.3
2005-01-24,1758.076,758.49,2800.0,3878.0,0.0,9.0,3014.3
2005-01-25,1761.84,758.88,2111.0,3966.0,0.04,6.0,3014.5
2005-01-26,1773.271,760.06,920.0,6781.0,0.52,6.0,2986.7
2005-01-27,1785.806,761.35,1452.0,7680.0,0.04,6.0,2991.7
2005-01-28,1797.034,762.5,2320.0,8095.0,0.32,15.0,2971.1
2005-01-29,1804.776,763.29,1717.0,5534.0,0.0,12.0,2981.1
2005-01-30,1811.558,763.98,2349.0,5836.0,0.0,18.0,2991.8
2005-01-31,1814.709,764.29,3415.0,4985.0,0.0,31.0,3002.2
2005-02-01,1821.518,764.99,1018.0,4526.0,0.0,25.0,3011.8
2005-02-02,1826.761,765.52,1469.0,4130.0,0.0,56.0,3021.6
2005-02-03,1831.717,766.02,1420.0,4120.0,0.0,25.0,3031.1
2005-02-04,1837.18,766.57,1017.0,3805.0,0.0,17.0,3040.3
2005-02-05,1843.351,767.19,563.0,3615.0,0.0,23.0,3049.2
2005-02-06,1850.338,767.89,59.0,3553.0,0.0,23.0,3057.4
2005-02-07,1856.842,768.54,476.0,3787.0,0.0,17.0,3061.3
2005-02-08,1860.852,768.94,966.0,3073.0,0.0,17.0,3069.6
2005-02-09,1869.094,769.76,535.0,4685.0,0.0,14.0,3077.6
2005-02-10,1876.451,770.49,0.0,3807.0,0.0,20.0,3077.6
2005-02-11,1881.098,770.95,1435.0,3797.0,0.0,40.0,3093.0
2005-02-12,1885.348,771.37,614.0,2853.0,0.0,23.0,3098.9
2005-02-13,1893.87,772.21,0.0,4289.0,0.4,23.0,3076.6
2005-02-14,1905.582,773.36,0.0,5926.0,0.08,0.0,3080.9
2005-02-15,1913.351,774.12,1551.0,5481.0,0.04,3.0,3080.9
2005-02-16,1920.219,774.79,2060.0,5602.0,0.28,6.0,3087.1
2005-02-17,1927.002,775.45,1210.0,5028.0,0.0,15.0,3094.2
2005-02-18,1929.781,775.72,3935.0,5077.0,0.08,50.0,3096.5
2005-02-19,1935.866,776.31,1486.0,4538.0,0.48,12.0,3073.7
