Date,Flow
1930-03-01,9500
1930-03-02,9200
1930-03-03,8500
1930-03-04,8000
1930-03-05,7500
1930-03-06,7000
1930-03-07,7500
1930-03-08,28000
1930-03-09,34500
1930-03-10,29000
1930-03-11,24000
1930-03-12,21000
1930-03-13,18500
1930-03-14,16500
1930-03-15,15000
1930-03-16,13500
1930-03-17,12500
1930-03-18,11500
1930-03-19,12000
1930-03-20,11500
1930-03-21,12000
1930-03-22,11700
1930-03-23,10200
1930-03-24,9350
1930-03-25,8550
1930-03-26,8900
1930-03-27,9080
1930-03-28,8850
1930-03-29,8050
1930-03-30,7560
1930-03-31,6860
1930-04-01,6220
1930-04-02,6430
1930-04-03,6430
1930-04-04,6220
1930-04-05,6020
1930-04-06,7090
1930-04-07,17800
1930-04-08,17000
1930-04-09,15000
1930-04-10,15800
1930-04-11,15800
1930-04-12,15800
1930-04-13,10800
1930-04-14,10200
1930-04-15,8300
1930-04-16,8300
1930-04-17,8300
1930-04-18,8300
1930-04-19,8300
1930-04-20,7800
1930-04-21,7090
1930-04-22,7040
1930-04-23,7090
1930-04-24,7320
1930-04-25,8050
1930-04-26,7560
1930-04-27,7090
1930-04-28,6860
1930-04-29,6220
1930-04-30,5820
1930-05-01,5820
1930-05-02,5620
1930-05-03,5230
1930-05-04,5820
1930-05-05,5230
1930-05-06,5230
1930-05-07,4860
1930-05-08,4340
1930-05-09,4510
1930-05-10,4340
1930-05-11,4180
1930-05-12,4020
1930-05-13,3800
1930-05-14,3710
1930-05-15,3860
1930-05-16,4020
1930-05-17,3740
1930-05-18,3600
1930-05-19,3560
1930-05-20,3560
1930-05-21,3710
1930-05-22,3530
1930-05-23,3290
1930-05-24,3320
1930-05-25,3260
1930-05-26,3120
1930-05-27,2940
1930-05-28,2660
1930-05-29,2580
1930-05-30,2660
1930-05-31,2420
1930-06-01,2370
1930-06-02,2210
1930-06-03,2020
1930-06-04,1990
1930-06-05,1970
1930-06-06,1740
1930-06-07,1740
1930-06-08,2610
1930-06-09,2500
1930-06-10,2320
1930-06-11,2420
1930-06-12,2390
1930-06-13,2240
1930-06-14,4520
1930-06-15,4860
1930-06-16,3860
1930-06-17,3650
1930-06-18,3680
1930-06-19,3860
1930-06-20,4680
1930-06-21,3860
1930-06-22,3320
1930-06-23,3090
1930-06-24,2610
1930-06-25,2660
1930-06-26,2720
1930-06-27,2800
1930-06-28,2770
1930-06-29,2660
1930-06-30,1900
1930-07-01,1900
1930-07-02,2370
1930-07-03,2580
1930-07-04,2830
1930-07-05,2040
1930-07-06,1830
1930-07-07,1830
1930-07-08,1540
1930-07-09,1490
1930-07-10,1600
1930-07-11,1450
1930-07-12,1280
1930-07-13,1260
1930-07-14,1220
1930-07-15,1160
1930-07-16,1010
1930-07-17,952
1930-07-18,952
1930-07-19,970
1930-07-20,934
1930-07-21,880
1930-07-22,768
1930-07-23,768
1930-07-24,1120
1930-07-25,898
1930-07-26,709
1930-07-27,632
1930-07-28,768
1930-07-29,736
1930-07-30,709
1930-07-31,632
1930-08-01,602
1930-08-02,594
1930-08-03,570
1930-08-04,594
1930-08-05,621
1930-08-06,632
1930-08-07,594
1930-08-08,654
1930-08-09,698
1930-08-10,610
1930-08-11,610
1930-08-12,610
1930-08-13,578
1930-08-14,562
1930-08-15,562
1930-08-16,516
1930-08-17,495
1930-08-18,481
1930-08-19,554
1930-08-20,594
1930-08-21,546
1930-08-22,509
1930-08-23,495
1930-08-24,474
1930-08-25,448
1930-08-26,502
1930-08-27,516
1930-08-28,621
1930-08-29,632
1930-08-30,602
1930-08-31,578
1930-09-01,665
1930-09-02,594
1930-09-03,665
1930-09-04,654
1930-09-05,594
1930-09-06,578
1930-09-07,562
1930-09-08,546
1930-09-09,578
1930-09-10,752
1930-09-11,1020
1930-09-12,736
1930-09-13,632
1930-09-14,654
1930-09-15,832
1930-09-16,784
1930-09-17,832
1930-09-18,832
1930-09-19,736
1930-09-20,676
1930-09-21,621
1930-09-22,602
1930-09-23,621
1930-09-24,643
1930-09-25,676
1930-09-26,709
1930-09-27,698
1930-09-28,594
1930-09-29,676
1930-09-30,602
1930-10-01,632
1930-10-02,632
1930-10-03,602
1930-10-04,621
1930-10-05,594
1930-10-06,523
1930-10-07,488
1930-10-08,554
1930-10-09,530
1930-10-10,516
1930-10-11,546
1930-10-12,516
1930-10-13,586
1930-10-14,538
1930-10-15,530
1930-10-16,530
1930-10-17,495
1930-10-18,562
1930-10-19,546
1930-10-20,698
1930-10-21,643
1930-10-22,687
1930-10-23,709
1930-10-24,698
1930-10-25,736
1930-10-26,643
1930-10-27,488
1930-10-28,516
1930-10-29,562
1930-10-30,562
1930-10-31,594
1930-11-01,523
1930-11-02,481
1930-11-03,530
1930-11-04,610
1930-11-05,709
1930-11-06,720
1930-11-07,594
1930-11-08,594
1930-11-09,676
1930-11-10,698
1930-11-11,610
1930-11-12,698
1930-11-13,698
1930-11-14,665
1930-11-15,610
1930-11-16,676
1930-11-17,784
1930-11-18,768
1930-11-19,1010
1930-11-20,1360
1930-11-21,880
1930-11-22,709
1930-11-23,768
1930-11-24,709
1930-11-25,736
1930-11-26,610
1930-11-27,988
1930-11-28,546
1930-11-29,467
1930-11-30,562
1930-12-01,1040
1930-12-02,829
1930-12-03,632
1930-12-04,698
1930-12-05,1140
1930-12-06,1120
1930-12-07,1020
1930-12-08,988
1930-12-09,848
1930-12-10,1100
1930-12-11,1280
1930-12-12,1180
1930-12-13,1490
1930-12-14,1830
1930-12-15,2020
1930-12-16,1830
1930-12-17,986
1930-12-18,665
1930-12-19,1540
1930-12-20,1450
1930-12-21,1080
1930-12-22,1340
1930-12-23,1020
1930-12-24,979
1930-12-25,860
1930-12-26,1340
1930-12-27,3680
1930-12-28,8300
1930-12-29,5420
1930-12-30,3500
1930-12-31,2320
1931-01-01,2110
1931-01-02,2800
1931-01-03,2610
1931-01-04,2210
1931-01-05,2240
1931-01-06,3770
1931-01-07,5820
1931-01-08,4180
1931-01-09,4340
1931-01-10,4510
1931-01-11,5040
1931-01-12,4340
1931-01-13,3620
1931-01-14,3170
1931-01-15,2970
1931-01-16,3170
1931-01-17,2750
1931-01-18,2470
1931-01-19,2560
1931-01-20,3380
1931-01-21,3590
1931-01-22,2390
1931-01-23,1760
1931-01-24,2110
1931-01-25,2110
1931-01-26,1940
1931-01-27,1850
1931-01-28,1850
1931-01-29,1970
1931-01-30,2040
1931-01-31,3470
1931-02-01,4340
1931-02-02,3620
1931-02-03,3200
1931-02-04,2800
1931-02-05,2530
1931-02-06,2320
1931-02-07,2240
1931-02-08,1800
1931-02-09,1900
1931-02-10,2160
1931-02-11,2690
1931-02-12,2940
1931-02-13,4770
1931-02-14,5820
1931-02-15,4680
1931-02-16,4340
1931-02-17,3800
1931-02-18,3830
1931-02-19,3770
1931-02-20,3680
1931-02-21,3830
1931-02-22,4680
1931-02-23,5420
1931-02-24,5230
1931-02-25,4860
1931-02-26,4340
1931-02-27,3830
1931-02-28,3380
1931-03-01,3200
1931-03-02,3470
1931-03-03,3710
1931-03-04,5360
1931-03-05,7090
1931-03-06,6020
1931-03-07,5420
1931-03-08,5230
1931-03-09,6090
1931-03-10,7560
1931-03-11,7090
1931-03-12,6020
1931-03-13,5820
1931-03-14,5230
1931-03-15,4680
1931-03-16,4020
1931-03-17,3860
1931-03-18,4020
1931-03-19,4020
1931-03-20,5040
1931-03-21,5040
1931-03-22,4860
1931-03-23,4680
1931-03-24,4860
1931-03-25,4860
1931-03-26,4680
1931-03-27,5040
1931-03-28,5040
1931-03-29,9340
1931-03-30,23700
1931-03-31,26600
1931-04-01,23500
1931-04-02,30700
1931-04-03,36100
1931-04-04,28900
1931-04-05,21000
1931-04-06,20200
1931-04-07,23500
1931-04-08,22600
1931-04-09,22600
1931-04-10,20200
1931-04-11,19400
1931-04-12,19800
1931-04-13,17000
1931-04-14,14200
1931-04-15,11400
1931-04-16,9680
1931-04-17,8550
1931-04-18,7560
1931-04-19,6860
1931-04-20,6220
1931-04-21,5620
1931-04-22,5230
1931-04-23,7220
1931-04-24,9280
1931-04-25,15000
1931-04-26,15000
1931-04-27,13400
1931-04-28,12800
1931-04-29,12400
1931-04-30,11400
1931-05-01,9680
1931-05-02,8300
1931-05-03,7560
1931-05-04,6640
1931-05-05,6220
1931-05-06,5620
1931-05-07,5230
1931-05-08,5230
1931-05-09,8550
1931-05-10,19000
1931-05-11,17800
1931-05-12,13800
1931-05-13,11400
1931-05-14,11100
1931-05-15,28000
1931-05-16,28900
1931-05-17,21000
1931-05-18,16600
1931-05-19,12800
1931-05-20,10800
1931-05-21,9680
1931-05-22,11700
1931-05-23,21000
1931-05-24,29800
1931-05-25,31600
1931-05-26,23500
1931-05-27,18600
1931-05-28,15000
