datetime,storage,elevation,outflow,inflow,precip,evap,tocs
2005-01-01,2437.349,981.09,1705.0,11879.0,0.71,12.0,3373.0
2005-01-02,2459.603,982.22,1848.0,13144.0,0.43,76.0,3384.5
2005-01-03,2474.042,982.95,3161.0,10499.0,0.31,58.0,3396.7
2005-01-04,2482.391,983.37,3304.0,7554.0,0.0,41.0,3410.0
2005-01-05,2488.757,983.69,2573.0,5800.0,0.0,18.0,3424.2
2005-01-06,2492.935,983.9,3124.0,5259.0,0.0,29.0,3438.8
2005-01-07,2500.325,984.27,3985.0,7740.0,0.0,29.0,3452.1
2005-01-08,2508.927,984.7,3163.0,7500.0,0.03,0.0,3465.6
2005-01-09,2517.945,985.15,4166.0,8737.0,0.32,24.0,3478.4
2005-01-10,2529.409,985.72,3056.0,8854.0,0.13,18.0,3491.0
2005-01-11,2541.952,986.34,2977.0,9313.0,0.69,12.0,3503.3
2005-01-12,2550.286,986.75,3145.0,7371.0,0.0,24.0,3516.9
2005-01-13,2558.201,987.14,3265.0,7297.0,0.0,42.0,3530.6
2005-01-14,2566.702,987.56,2975.0,7291.0,0.0,30.0,3544.3
2005-01-15,2574.595,987.95,2822.0,6825.0,0.0,24.0,3558.4
2005-01-16,2582.356,988.33,3193.0,7118.0,0.03,12.0,3572.3
2005-01-17,2589.514,988.68,2796.0,6429.0,0.0,24.0,3586.8
2005-01-18,2596.265,989.01,3328.0,6756.0,0.0,24.0,3601.0
2005-01-19,2604.079,989.39,3352.0,7322.0,0.0,30.0,3614.8
2005-01-20,2613.538,989.85,3245.0,8014.0,0.0,0.0,3627.8
2005-01-21,2621.791,990.25,3549.0,7765.0,0.0,55.0,3641.1
2005-01-22,2629.855,990.64,3076.0,7166.0,0.0,24.0,3655.0
2005-01-23,2636.472,990.96,3413.0,6773.0,0.0,24.0,3669.4
2005-01-24,2644.368,991.34,3422.0,7434.0,0.0,31.0,3683.0
2005-01-25,2654.971,991.85,2936.0,8313.0,0.28,31.0,3695.6
2005-01-26,2686.14,993.34,1480.0,17219.0,0.99,25.0,3697.4
2005-01-27,2710.791,994.51,2739.0,15322.0,1.5,155.0,3701.5
2005-01-28,2755.212,996.6,901.0,23447.0,1.49,151.0,3695.2
2005-01-29,2789.988,998.22,1229.0,18768.0,0.02,6.0,3694.9
2005-01-30,2815.951,999.42,971.0,14092.0,0.0,32.0,3700.9
2005-01-31,2832.031,1000.16,3519.0,11671.0,0.0,45.0,3710.2
2005-02-01,2848.156,1000.9,2117.0,10331.0,0.0,84.0,3721.5
2005-02-02,2863.699,1001.61,1852.0,9798.0,0.0,110.0,3733.6
2005-02-03,2876.869,1002.21,2225.0,8975.0,0.0,110.0,3746.8
2005-02-04,2892.508,1002.92,2190.0,10140.0,0.0,65.0,3758.3
2005-02-05,2906.447,1003.55,1928.0,9001.0,0.0,46.0,3771.6
2005-02-06,2916.633,1004.01,2412.0,7612.0,0.0,65.0,3787.0
2005-02-07,2925.537,1004.41,3721.0,8269.0,0.02,59.0,3801.4
2005-02-08,2931.103,1004.66,3602.0,6447.0,0.0,39.0,3818.8
2005-02-09,2936.446,1004.9,3603.0,6350.0,0.0,53.0,3836.4
2005-02-10,2940.686,1005.09,3814.0,6011.0,0.0,59.0,3836.4
2005-02-11,2947.175,1005.38,2881.0,6231.0,0.0,79.0,3872.1
2005-02-12,2950.979,1005.55,3756.0,5746.0,0.0,72.0,3890.5
2005-02-13,2962.174,1006.05,2772.0,8429.0,0.55,13.0,3903.9
2005-02-14,2973.423,1006.55,2811.0,8495.0,0.7,13.0,3917.2
2005-02-15,2983.323,1006.99,3160.0,8158.0,0.01,7.0,3917.2
2005-02-16,2991.689,1007.36,3328.0,7566.0,0.02,20.0,3946.1
2005-02-17,2999.83,1007.72,2777.0,6921.0,0.08,40.0,3962.4
2005-02-18,3011.391,1008.23,2711.0,8587.0,0.0,47.0,3975.3
2005-02-19,3021.393,1008.67,3619.0,8682.0,0.63,20.0,3987.9
2005-02-20,3046.95,1009.79,1958.0,14917.0,1.18,74.0,3987.5
2005-02-21,3068.75,1010.74,3129.0,14154.0,0.32,34.0,3988.9
2005-02-22,3084.422,1011.42,2394.0,10322.0,0.0,27.0,3998.9
2005-02-23,3100.138,1012.1,2089.0,10060.0,0.0,48.0,3998.9
2005-02-24,3108.959,1012.48,3311.0,7874.0,0.0,116.0,4024.9
2005-02-25,3117.78,1012.86,2936.0,7445.0,0.0,62.0,4041.3
2005-02-26,3126.63,1013.24,3094.0,7597.0,0.0,41.0,4057.3
2005-02-27,3143.898,1013.98,3238.0,11985.0,0.83,41.0,4062.9
2005-02-28,3168.056,1015.01,1908.0,14177.0,1.62,90.0,4063.4
2005-03-01,3191.638,1016.01,1890.0,13800.0,0.12,21.0,4065.0
2005-03-02,3216.526,1017.06,1850.0,14440.0,0.66,42.0,4065.4
2005-03-03,3237.491,1017.94,1743.0,12376.0,0.0,63.0,4071.1
2005-03-04,3255.679,1018.7,1766.0,10943.0,0.04,7.0,4071.1
2005-03-05,3274.655,1019.49,1842.0,11487.0,0.02,78.0,4071.1
2005-03-06,3289.098,1020.09,3152.0,10526.0,0.0,92.0,4099.3
