1926,505
1927,495
1928,620
1929,575
1930,535
1931,800
1932,650
1933,500
1934,660
1935,945
1936,620
1937,425
1938,280
1939,875
1940,400
1941,565
1942,750
1943,585
1944,570
1945,435
1946,720
1947,765
1948,680
1949,545
1950,555
1951,795
1952,1270
1953,910
1954,485
1955,675
1956,1225
1957,515
1958,625
1959,505
1960,875
1961,425
1962,445
1963,515
1964,720
1965,375
1966,525
1967,240
1968,620
1969,500
1970,765
1971,700
1972,335
1973,580
1974,880
1975,720
1976,520
1977,600
1978,635
1979,390
1980,500
1981,530
1982,230
1983,470
1984,567
1985,543
1986,636
1987,462
1988,464
1989,630
1990,698
1991,628
1992,760
1993,712
1994,527
1995,667
1996,826
1997,232
1998,433
1999,317
2000,560
2001,426
2002,324
2003,509
2004,508
2005,389
2006,163
2007,374
2008,287
2009,369
2010,559
2011,634
2012,658
2013,416
2014,421
2015,36
